epoch,train_loss,train_acc,test_loss,test_acc
1,2.2694250857791216,0.39087947882736157,2.0391120729029084,0.4145056726094003
2,1.4986938078939331,0.566571661237785,1.4325391183602751,0.6021069692058347
3,1.2980473594867445,0.622557003257329,1.4251766896518354,0.5850891410048622
4,1.1312295313960954,0.6686685667752443,1.1079393874497623,0.6653160453808752
5,1.0305101978274045,0.6936074918566775,1.3920992636023697,0.5927876823338736
6,0.9745882334072349,0.7074511400651465,0.9353223981115382,0.7094813614262561
7,0.9570032658134299,0.7139657980456026,1.049411970753724,0.6709886547811994
8,0.9695524298601119,0.7068403908794788,0.8551829435064109,0.7260940032414911
9,0.8533307144036122,0.7398208469055375,0.8439406235755166,0.7552674230145867
10,0.8522873532500251,0.74185667752443,0.8696986087137528,0.7301458670988655
11,0.8092316044464174,0.751628664495114,0.9165411768315097,0.7244732576985413
12,0.791289043251777,0.7569218241042345,0.8257378370680724,0.7593192868719612
13,0.8435767084263047,0.7487785016286646,0.9710502392662209,0.7139384116693679
14,0.8027721862839565,0.7538680781758957,0.7481677789162585,0.7714748784440842
15,0.7362808981236884,0.769849348534202,0.8580880346715547,0.7341977309562399
16,0.7084656347086841,0.778807003257329,0.8272152406856346,0.7803889789303079
17,0.7242429539415658,0.774735342019544,0.7154143934698121,0.7913290113452188
18,0.6723507639833692,0.7904112377850163,0.9019375415443408,0.7491896272285251
19,0.6942707131273972,0.786950325732899,0.8207638673303193,0.7633711507293355
20,0.662214718637715,0.7919381107491856,0.841419579723859,0.7617504051863857
21,0.5656115487945973,0.8202361563517915,0.6130264139639114,0.809967585089141
22,0.5642377447810157,0.8194218241042345,0.5797539455770867,0.8310372771474879
23,0.5488954855292938,0.8218648208469055,0.6387274745410999,0.8087520259319287
24,0.5311717843388113,0.833163680781759,0.6313674482766002,0.8132090761750406
25,0.527665020006099,0.8309242671009772,0.5866707580788981,0.8249594813614263
26,0.5180283345112194,0.8346905537459284,0.6120643691073747,0.8140194489465153
27,0.49968627250544023,0.8403908794788274,0.610285253347029,0.8128038897893031
28,0.5040464552198248,0.8406962540716613,0.6038568605286955,0.8196920583468396
29,0.5011643505737137,0.8391693811074918,0.6702324936416972,0.8038897893030794
